"BuildingType","DataYear","Buildings","Percentile_25th_EUI","Median_EUI","Percentile_75th_EUI","Median_EUI_WN","Average_Site_EUI","Average_Site_EUI_WN","Median_Source_EUI","Median_ES_Score","Average_ES_Score","Total_GFA","Median_GFA","Median_Year_Built","Average_GHGSF","MedianGHGSF"
"Medical Office","2016","40","68.3","80","101.5","81.3","87.3","88.5","234.8","52.5","46.1","5,035,689","89,108","1984.5","1.6","0.9"
"Mid-Rise Multifamily","2016","563","27.9","34","43.6","35.7","39.2","41.3","89.4","84.5","76.4","42,998,250","53,088","1999","0.8","0.6"
"Mixed Use Property","2016","123","38.9","56.6","96.7","61.2","81.9","84.9","137.1","75","65.6","11,182,962","44,104","1966","2","1.1"
"Non-Refrigerated Warehouse","2016","163","15.7","28","45.5","30.2","34","36.9","63.3","57","52.3","10,036,468","40,800","1965","0.8","0.6"
"Other","2016","226","47","81.3","128.5","85.6","107.6","111.8","181.3","76","71.4","20,573,111","39,660","1965.5","2.7","1.7"
"Refrigerated Warehouse","2016","12","33.7","49.8","107.7","51","78.8","78.7","123.7","75","76.8","466,002","25,548.5","1955","1","0.5"
"Residence Hall/Dormitory","2016","17","32.8","58","71.6","63.8","56.8","60.1","109.9","76","67.4","981,816","29,796","1950","1.8","2.1"
"Restaurant","2016","11","96.5","157.9","228.3","162","174.5","179.4","288.9",,,"329,303","28,800","1923","6.1","5.6"
"Retail Store","2016","84","36.8","54.3","81.6","58.4","64.3","66.7","139.3","72","65.8","6,713,066","45,665","1965","1.2","0.7"
"Self-Storage Facility","2016","25","11.4","16.9","27.4","18.6","22.1","24.5","39.2","38","38","1,249,225","38,959","1956","0.6","0.4"
"Senior Living Community","2016","43","46.6","70.8","97.3","71.9","82","85.6","154.5","71","61.7","4,769,693","69,035","1989","2.6","2"
"Small- and Mid-Sized Office","2016","292","38.9","52.3","68.3","54.4","61","63.3","145.3","73","67","12,807,614","37,558","1965","1","0.5"
"Supermarket/Grocery Store","2016","33","196","252.3","298.3","260.7","245.5","252.2","604.9","37.5","46.6","1,564,572","44,739","1980","5.5","5.8"
"Worship Facility","2016","66","23.8","33","40.7","37.4","33.4","37.9","60.9","69","64.5","2,068,051","26,121.5","1952","1.3","1.1"
"College/University","2015","13","43.3","68","78.3","76.4","64.6","73.5","158.9",,,"3,736,353","61,050","1956","1.8","1.9"
"Distribution Center","2015","48","19.4","28","41.7","29.3","34.8","37.1","72.4","49.5","47.7","3,745,094","43,804","1964","0.6","0.6"
"High-Rise Multifamily","2015","103","37.1","47.6","57.3","51.2","50.7","56.2","109.5","49","49.4","18,772,474","146,914","1982","1.3","1"
"Hospital","2015","10","196.6","209.7","218.3","219.1","195.9","200.5","429.3","52","56","6,698,723","387,830","1978","6.4","6.7"
"Hotel","2015","67","61.7","79","97.6","82.5","88.9","91.8","174.6","59","56.9","9,853,813","88,100","1978","3.1","2.3"
"K-12 School","2015","122","31.8","36.7","48.7","45.4","41.1","49.2","81.2","84","78.7","9,806,356","57,708","1966","1.2","1"
"Laboratory","2015","8","231.3","267.8","332.3","285.1","314.5","329.2","585.7","1","1","750,381","81,305","1974","9.8","8.8"
"Large Office","2015","149","46.6","55","70.8","58.2","65.1","67.4","162.2","84","78.4","47,119,165","203,880","1983","0.7","0.4"
"Low-Rise Multifamily","2015","961","24.7","29.1","36.3","31.8","34","37.9","82.6","77","70.4","38,154,126","29,492","1977","0.7","0.2"
"Medical Office","2015","42","63.6","78","105.4","81.3","88.2","91.7","221.6","56","47.4","4,994,193","78,497","1984.5","2","1"
"Mid-Rise Multifamily","2015","534","27.3","33.1","42.9","35.9","37.8","41.4","88.3","85","75.4","39,659,397","51,573","1998","0.8","0.6"
"Mixed Use Property","2015","118","38.4","57.4","92.1","61.1","77.9","82.2","133.1","78","67.8","8,234,425","40,761","1966","1.9","1.2"
"Non-Refrigerated Warehouse","2015","161","14.1","26","44.9","28.9","33.1","36.7","64.9","55","52.3","9,345,187","40,800","1965","0.8","0.5"
"Other","2015","222","44.2","79.1","125.1","84.1","106.2","111.9","176.6","69","68","20,415,008","39,074","1964.5","2.6","1.7"
"Refrigerated Warehouse","2015","12","35.9","48.8","104.8","46.8","75.9","74.7","143.6","83","79.6","466,002","25,548.5","1955","0.9","0.5"
"Residence Hall/Dormitory","2015","15","31.8","60.7","75.7","66.8","58.8","65.3","111.7","71","63.4","609,944","29,084","1930","1.9","2"
"Restaurant","2015","11","88.4","168.3","217.3","168.1","173","178.7","277.8",,,"329,303","28,800","1923","6","6.2"
"Retail Store","2015","92","37.3","52.1","85","58.5","65.3","67.8","149.7","72","64.2","7,432,399","46,429.5","1965","1.1","0.7"
"Self-Storage Facility","2015","23","10.8","15.2","31.5","18.3","22.1","24.8","39.7",,,"1,048,784","34,176","1956","0.6","0.4"
"Senior Living Community","2015","41","48.2","70.4","103.3","73.1","81.3","87.5","153.3","56","59.4","4,661,911","72,805","1988","2.5","1.8"
"Small- and Mid-Sized Office","2015","289","39.2","53.1","70.7","55","61.2","64.3","150.1","72","64.9","12,790,713","38,038","1965","0.9","0.5"
"Supermarket/Grocery Store","2015","29","224.6","268.8","308.5","277","266.2","278.2","639.9","32.5","39.9","1,183,269","38,000","1980","5.9","6"
"Worship Facility","2015","66","22.6","32.2","40","38.5","33.4","40.4","60.1","70","63.2","2,068,051","26,121.5","1952","1.3","1"
