"BuildingType","DataYear","Buildings","Percentile_25th_EUI","Median_EUI","Percentile_75th_EUI","Median_EUI_WN","Average_Site_EUI","Average_Site_EUI_WN","Median_Source_EUI","Median_ES_Score","Average_ES_Score","Total_GFA","Median_GFA","Median_Year_Built","Average_GHGSF","MedianGHGSF"
"Supermarket/Grocery Store","2023","34","155.3","215.2","269.8","213.5","211.7","209","435.7","73.5","70.9","1,649,443","44,747","1995","5.3","5.1"
"Worship Facility","2023","58","23.6","35.9","44","34.9","38.3","37.3","54.5","55","51.7","1,877,185","26,406.5","1951","1.5","1.3"
"College/University","2022","22","42.4","54.2","79.1","51.1","71.2","67.3","112.5","88","89.3","4,535,117","71,898","1967.5","3.1","1.3"
"Distribution Center","2022","36","14.6","22.7","37.3","21.2","29.5","28.4","47.2","60","57.6","2,325,556","43,804","1968.5","0.6","0.4"
"High-Rise Multifamily","2022","129","35.6","45.2","53.2","44.2","48.1","46.1","96","76","66","28,109,722","169,565","1991","1.2","0.9"
"Hospital","2022","11","170.8","192.4","210.9","191.7","196.7","190.4","356.1","86","73.4","8,378,858","401,194","1973","6.8","7.5"
"Hotel","2022","76","53.6","69","82.8","67.5","69.6","68.1","135.4","82","75.9","12,159,744","92,251.5","1987.5","2.1","2"
"K-12 School","2022","142","34.8","45.3","55.2","43","48.2","45.1","81.6","65","61.3","11,460,454","58,527.5","1971","1.6","1.4"
"Laboratory","2022","23","158","223.6","280.3","223.6","234.3","228.8","424.4","21","21","3,398,525","109,550","1997","7.9","6.4"
"Large Office","2022","182","36","44.2","57.1","44.2","50.5","50.3","110.1","84.5","79.1","63,145,901","224,675","1990.5","0.7","0.4"
"Low-Rise Multifamily","2022","1,033","25.8","30.7","38.4","29.4","37.7","35.5","78.9","83","75.5","41,694,105","29,810","1979","0.7","0.2"
"Medical Office","2022","44","61.2","73.5","102.8","73","86.8","85.9","197.2","65","57.5","4,393,598","46,971.5","1983.5","1.6","0.8"
"Mid-Rise Multifamily","2022","750","27.7","33.6","42.9","32.9","38.5","37.4","79.7","94","85.7","63,386,745","58,375","2004","0.8","0.6"
"Mixed Use Property","2022","142","40.1","67.8","113.2","65","87.5","86.9","140.7","77","72.1","18,449,352","57,548","1980","2.1","1.3"
"Non-Refrigerated Warehouse","2022","143","16","27.2","48","26.1","36.2","34.3","57.5","60.5","56.3","8,048,894","38,784","1966","1","0.5"
"Other","2022","263","39.8","70.9","113.2","67.9","94.1","91.9","149.2","55","53.5","22,558,436","39,017","1967","2.3","1.3"
"Refrigerated Warehouse","2022","13","26.9","44.1","88.3","46.3","76","80.2","100.9","56","45.8","1,066,272","25,577","1955","1","0.4"
"Residence Hall/Dormitory","2022","14","30.4","40.7","77.8","39.6","53.9","53.6","87.5","86","72.5","1,023,231","30,062","1940","1.4","0.5"
"Restaurant","2022","9","77.2","183.3","265.5","179.6","205.1","200.4","348.1",,,"286,244","31,020","1955","6.1","4.4"
"Retail Store","2022","60","28","43.5","64.7","44.6","52.2","51.2","98.8","79","70.4","3,686,412","37,565","1966","1","0.7"
"Self-Storage Facility","2022","38","8.2","10.4","18.8","10.1","17","16.1","23.1",,,"3,097,625","75,473","1987.5","0.4","0.1"
"Senior Living Community","2022","40","47.1","62.4","88.8","60.4","75.7","73.1","133.6","65","65","4,659,830","77,906.5","1996.5","2","1.3"
"Small- and Mid-Sized Office","2022","289","32.7","46","63.4","44.8","53.2","51.8","113.5","72","65.7","13,397,074","39,760","1966","0.9","0.4"
"Supermarket/Grocery Store","2022","34","151.4","232.4","287.3","228.1","219.9","215.5","467.9","71","68.9","1,649,443","44,747","1995","5.7","5.9"
"Worship Facility","2022","62","24.5","35.5","47.2","32.1","39.1","35.5","53.5","59","53","1,961,269","26,288","1951","1.4","1.1"
"College/University","2021","18","34.9","49.9","106.3","49.4","77","77.8","100.2","95","93.7","2,626,128","59,191.5","1967.5","2.7","1.4"
"Distribution Center","2021","37","13.8","22.4","30.4","22.3","27.2","26.3","52","67","60.5","2,375,973","44,708","1969","0.6","0.5"
"High-Rise Multifamily","2021","127","33.9","45.9","52.7","44.9","45.9","45.8","96.8","78.5","66.2","27,648,020","169,565","1990","1.1","0.9"
"Hospital","2021","11","187.3","200.7","228.4","197.8","207.8","206.4","395.8","69","66.4","8,378,858","401,194","1973","7.8","7.8"
"Hotel","2021","75","45.5","57.8","72.9","58.2","60.3","60.6","122.4","89","84.6","12,053,151","93,920","1985","1.9","1.6"
"K-12 School","2021","141","35.8","43.4","55.2","42.5","48.9","47.1","78.3","69","62.4","11,372,479","58,118","1970","1.8","1.5"
"Laboratory","2021","21","161.8","232.9","258.3","217","235.1","225.4","451.9",,,"2,912,505","106,003","1988","8.1","5.9"
"Large Office","2021","174","34.2","42.5","55","42.5","49.3","49.8","109.6","85","80.6","59,412,281","222,697.5","1989.5","0.7","0.3"
"Low-Rise Multifamily","2021","1,035","25.1","30","37.4","29.6","36.8","36.2","77","84","76.5","41,827,466","30,000","1979","0.8","0.2"
"Medical Office","2021","43","61.2","75.5","109.2","75.5","85.9","85.2","189.8","62","56.9","4,453,571","48,798","1983","1.8","0.8"
"Mid-Rise Multifamily","2021","730","26.3","32","41.5","32.4","37.6","37.6","77.1","94","85.5","60,686,301","57,653","2003","0.8","0.6"
"Mixed Use Property","2021","139","37.2","61.1","104.7","61.1","84.4","83.8","131.1","83","77.7","17,962,828","56,876","1980","2.1","1.3"
"Non-Refrigerated Warehouse","2021","142","15.8","27.2","51","26.8","38","36.5","56.7","59","52.7","7,773,642","39,140.5","1966","1.2","0.7"
"Other","2021","255","38.4","68.3","106","67","89.3","88.6","137.9","68","60.3","21,029,685","38,482","1968","2.3","1.4"
"Refrigerated Warehouse","2021","12","35.4","42","99.7","41.2","79.5","79.3","108.8","44","40.3","1,040,752","26,420","1954","0.9","0.4"
"Residence Hall/Dormitory","2021","14","29","42.4","75.1","42.7","54.7","53","89.1","85","76","1,023,231","30,062","1940","2","1.6"
"Restaurant","2021","9","132.1","186.8","259.2","186.2","196.4","196","332.7",,,"286,244","31,020","1955","6.1","5.5"
"Retail Store","2021","62","27","42.7","66.4","44.2","50.5","50.3","96.1","81","71.8","3,738,500","35,963.5","1966","1.2","0.7"
"Self-Storage Facility","2021","40","7.4","10.8","15","10.4","15.3","15","24.7",,,"3,307,541","75,473","1984.5","0.4","0.1"
"Senior Living Community","2021","40","51.4","74.6","106.7","74.2","83.2","83.5","142.7","61","58.7","4,659,830","77,906.5","1996.5","2.8","2.3"
"Small- and Mid-Sized Office","2021","289","31.5","43.2","61.8","42.5","52.2","51.8","107.1","73","66.6","13,327,397","39,760","1966","0.9","0.4"
"Supermarket/Grocery Store","2021","36","142.7","220.1","293.4","229.5","212.4","210.4","424.4","72","70.4","1,792,735","44,747","1994","5.3","5.1"
"Worship Facility","2021","63","20.9","34.7","45.2","33.8","37.6","37.7","49.2","61.5","56.2","1,984,164","26,210","1951","1.7","1.5"
"College/University","2020","17","54.9","67.5","93.2","69.8","79.8","82.3","131.5",,,"4,061,859","61,050","1960","2.8","2.1"
"Distribution Center","2020","49","15.2","24.6","31.8","25.8","31.4","31.9","48.2","60","57.9","3,046,939","44,708","1967","0.6","0.5"
"High-Rise Multifamily","2020","122","35.7","44.1","53.8","45.2","45.5","46.6","95.8","70","63.4","26,228,682","168,753","1990.5","1.1","0.9"
"Hospital","2020","10","173.1","191.8","227.4","192.5","207.1","207.9","361.4","65","59.5","8,333,776","499,356.5","1978","7.4","7.3"
"Hotel","2020","79","40.7","48.9","62.1","48.9","53.2","53.7","101.1","95","89.2","12,400,821","88,502","1983","1.6","1.4"
"K-12 School","2020","137","26.3","32.1","41.8","33.4","35.5","37.3","59.1","83","77","11,194,648","58,937","1970","1.2","1"
"Laboratory","2020","15","166.2","219.2","282.2","199.8","244.3","238","458.3",,,"1,315,179","60,375","1985","7.7","6.2"
"Large Office","2020","169","34.7","43.2","53","43.4","49.2","49.7","108.8","86","81.5","58,278,362","224,857","1989","0.6","0.4"
"Low-Rise Multifamily","2020","1,023","25.3","29.7","37","30.5","33.7","34.6","75.2","82","76.8","41,347,432","29,808","1978","0.6","0.2"
"Medical Office","2020","46","59","73.9","123.2","76.7","97.3","99","200.6","50.5","48.6","5,234,839","59,548.5","1985.5","1.9","0.8"
"Mid-Rise Multifamily","2020","702","27.6","32.9","41.4","33.6","36.8","37.5","77.9","92","84.2","58,151,777","57,653","2002","0.8","0.6"
"Mixed Use Property","2020","147","37.5","56.5","88.4","56.8","85.5","86.6","126.4","78.5","68.1","16,813,329","55,916","1980","1.8","1.1"
"Non-Refrigerated Warehouse","2020","140","16.4","27.6","43.6","28.8","33.3","34.6","57.9","56.5","52.9","7,827,091","40,006","1966","0.9","0.7"
"Other","2020","245","36.5","65.5","96.5","66.5","88.4","90.1","128.4","60","65.5","20,846,633","38,845","1968","2.1","1.3"
